,국가(대륙)별,상품군별,판매유형별,시점,데이터
0,미국,컴퓨터 및 주변기기,면세점 이외,2017.1/4,1054
1,미국,컴퓨터 및 주변기기,면세점 이외,2017.2/4,946
2,미국,컴퓨터 및 주변기기,면세점 이외,2017.3/4,791
3,미국,컴퓨터 및 주변기기,면세점 이외,2017.4/4,854
4,미국,컴퓨터 및 주변기기,면세점 이외,2018.1/4,2033
5,미국,컴퓨터 및 주변기기,면세점 이외,2018.2/4,1553
6,미국,컴퓨터 및 주변기기,면세점 이외,2018.3/4,1784
7,미국,컴퓨터 및 주변기기,면세점 이외,2018.4/4,1773
8,미국,컴퓨터 및 주변기기,면세점 이외,2019.1/4,1298
9,미국,컴퓨터 및 주변기기,면세점 이외,2019.2/4,1408
10,미국,컴퓨터 및 주변기기,면세점 이외,2019.3/4,1653
11,미국,컴퓨터 및 주변기기,면세점 이외,2019.4/4,1383
12,미국,컴퓨터 및 주변기기,면세점 이외,2020.1/4,1182
13,미국,컴퓨터 및 주변기기,면세점 이외,2020.2/4,1631
14,미국,컴퓨터 및 주변기기,면세점 이외,2020.3/4,1871
15,미국,컴퓨터 및 주변기기,면세점 이외,2020.4/4,1373
16,미국,컴퓨터 및 주변기기,면세점 이외,2021.1/4,1644
17,미국,컴퓨터 및 주변기기,면세점 이외,2021.2/4,2118
18,미국,컴퓨터 및 주변기기,면세점 이외,2021.3/4,1535
19,미국,컴퓨터 및 주변기기,면세점 이외,2021.4/4,731
20,미국,컴퓨터 및 주변기기,면세점 이외,2022.1/4,655
21,미국,컴퓨터 및 주변기기,면세점 이외,2022.2/4 p),685
22,미국,가전·전자·통신기기,면세점 이외,2017.1/4,2712
23,미국,가전·전자·통신기기,면세점 이외,2017.2/4,2402
24,미국,가전·전자·통신기기,면세점 이외,2017.3/4,2546
25,미국,가전·전자·통신기기,면세점 이외,2017.4/4,2362
26,미국,가전·전자·통신기기,면세점 이외,2018.1/4,1672
27,미국,가전·전자·통신기기,면세점 이외,2018.2/4,1678
28,미국,가전·전자·통신기기,면세점 이외,2018.3/4,1651
29,미국,가전·전자·통신기기,면세점 이외,2018.4/4,1834
