"국가별(1)","항목",2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09
"중국","무역수지 (천불)",197536,2636911,3018307,618404,-1092220,-1218509,-599828,-358091,684934
"미국","무역수지 (천불)",1476183,1779549,2646277,3000961,2414221,2998064,3332083,978613,2560806
"일본","무역수지 (천불)",-1839278,-2229645,-2556391,-2247444,-1427369,-1878824,-2048305,-1909246,-1834757
"홍콩","무역수지 (천불)",2343727,2279598,2655512,2136324,2502739,2653554,1489922,1773460,2785021
"베트남","무역수지 (천불)",2995115,3164424,3504170,3071242,2777030,2864302,2998215,1958693,2494160
"대만","무역수지 (천불)",-228747,260715,203203,-87793,520899,-122885,-644362,-440743,-665454
"싱가포르","무역수지 (천불)",464530,667863,1365417,1014964,796597,653715,1031006,1196308,1146798
"인도","무역수지 (천불)",770361,618869,527266,645737,619988,570709,1513153,951945,1040892
"독일","무역수지 (천불)",-838568,-1076854,-1266804,-1345673,-1137343,-939123,-949017,-1276923,-695644
"멕시코","무역수지 (천불)",536833,429658,797025,587553,350508,77107,186420,397628,318485
"인도네시아","무역수지 (천불)",-472877,-316143,-659837,-421223,-312284,-225180,-531845,-542896,-520633
"호주","무역수지 (천불)",-2860657,-2205929,-2722810,-1376530,-1865480,-2168960,-2263951,-2237327,-2170109
"필리핀","무역수지 (천불)",582504,604926,716686,884552,833226,826433,769990,538863,490589
"말레이시아","무역수지 (천불)",-712828,-301042,-341779,-155005,-101760,40930,112751,-49772,-859611
"러시아 연방","무역수지 (천불)",-1206039,-765804,-1268657,-1437731,-763782,-465019,-310521,-484963,-433186
"태국","무역수지 (천불)",212808,15476,23954,55507,109346,11235,7219,-12915,96241
"영국","무역수지 (천불)",123467,-31938,304106,-81791,-235217,49476,223570,16435,10796
"브라질","무역수지 (천불)",-192543,-114345,-271805,-142387,-29682,-242271,-405780,-196991,-330464
"사우디아라비아","무역수지 (천불)",-2903798,-2363122,-3070587,-3225893,-3282806,-2769867,-3513244,-4271804,-3060763
"아랍에미리트 연합","무역수지 (천불)",-450476,-113417,-480683,-813060,-542532,-1035011,-2097337,-1234351,-1186555
"네덜란드","무역수지 (천불)",9788,-53115,-6965,67308,26083,-209796,203203,226975,71513
"캐나다","무역수지 (천불)",107032,15070,-119641,-1856,-108355,-81562,-85766,-252039,-241100
"마샬군도","무역수지 (천불)",359820,312821,224372,35016,263270,286917,197223,129711,329050
"튀르키예","무역수지 (천불)",560616,616938,614536,679051,560248,354774,545865,539500,400981
