광종,기간,수급안정화지수,,광종,기간,시장위험지수
코발트,2018-01-01,6.688569521,,코발트,2018-01-01,7.089883692
코발트,2018-02-01,4.529362115,,코발트,2018-02-01,4.755830221
코발트,2018-03-01,4.151129594,,코발트,2018-03-01,4.358686074
코발트,2018-04-01,3.402339844,,코발트,2018-04-01,3.572456836
코발트,2018-05-01,3.278509852,,코발트,2018-05-01,3.442435344
코발트,2018-06-01,3.417726422,,코발트,2018-06-01,3.588612743
코발트,2018-07-01,3.504059394,,코발트,2018-07-01,3.679262364
코발트,2018-08-01,3.973244602,,코발트,2018-08-01,4.171906833
코발트,2018-09-01,5.506597597,,코발트,2018-09-01,5.781927477
코발트,2018-10-01,5.456639151,,코발트,2018-10-01,5.729471109
코발트,2018-11-01,5.642485934,,코발트,2018-11-01,5.92461023
코발트,2018-12-01,6.941236196,,코발트,2018-12-01,7.288298006
코발트,2019-01-01,11.97335733,,코발트,2019-01-01,12.57202519
코발트,2019-02-01,38.52124829,,코발트,2019-02-01,39.67688574
코발트,2019-03-01,59.51752378,,코발트,2019-03-01,61.30304949
코발트,2019-04-01,69.51523353,,코발트,2019-04-01,71.60069053
코발트,2019-05-01,61.11532216,,코발트,2019-05-01,62.94878183
코발트,2019-06-01,60.75275434,,코발트,2019-06-01,62.57533697
코발트,2019-07-01,67.96434761,,코발트,2019-07-01,70.00327804
코발트,2019-08-01,73.91665187,,코발트,2019-08-01,76.13415142
코발트,2019-09-01,64.58344072,,코발트,2019-09-01,66.52094394
코발트,2019-10-01,56.06659409,,코발트,2019-10-01,57.74859191
코발트,2019-11-01,53.7199324,,코발트,2019-11-01,55.33153037
코발트,2019-12-01,56.3323494,,코발트,2019-12-01,58.02231988
코발트,2020-01-01,60.55006831,,코발트,2020-01-01,62.36657036
코발트,2020-02-01,55.83687769,,코발트,2020-02-01,57.51198402
코발트,2020-03-01,51.42126931,,코발트,2020-03-01,52.96390739
코발트,2020-04-01,54.73431637,,코발트,2020-04-01,56.37634586
코발트,2020-05-01,58.01739246,,코발트,2020-05-01,59.75791423
코발트,2020-06-01,61.33438189,,코발트,2020-06-01,63.17441335
코발트,2020-07-01,63.11054857,,코발트,2020-07-01,65.00386503
코발트,2020-08-01,66.03007441,,코발트,2020-08-01,68.01097665
코발트,2020-09-01,61.92779033,,코발트,2020-09-01,63.78562404
코발트,2020-10-01,59.82837453,,코발트,2020-10-01,61.62322577
코발트,2020-11-01,59.8846622,,코발트,2020-11-01,61.68120207
코발트,2020-12-01,59.07563109,,코발트,2020-12-01,60.84790002
코발트,2021-01-01,57.57362421,,코발트,2021-01-01,59.30083293
코발트,2021-02-01,44.76538711,,코발트,2021-02-01,46.10834872
코발트,2021-03-01,25.36476523,,코발트,2021-03-01,26.12570819
코발트,2021-04-01,18.06434942,,코발트,2021-04-01,18.60627991
코발트,2021-05-01,26.88832219,,코발트,2021-05-01,27.69497185
코발트,2021-06-01,35.27208713,,코발트,2021-06-01,36.33024975
코발트,2021-07-01,40.63973148,,코발트,2021-07-01,41.85892342
코발트,2021-08-01,26.51970328,,코발트,2021-08-01,27.31529438
코발트,2021-09-01,27.72511812,,코발트,2021-09-01,28.55687166
코발트,2021-10-01,12.08461116,,코발트,2021-10-01,26.99440077
코발트,2021-11-01,21.03378373,,코발트,2021-11-01,21.66479724
코발트,2021-12-01,15.2665941,,코발트,2021-12-01,15.72459192
코발트,2022-01-01,8.122922434,,코발트,2022-01-01,8.366610107
코발트,2022-02-01,7.818013274,,코발트,2022-02-01,8.052553672
코발트,2022-03-01,7.034587761,,코발트,2022-03-01,7.245625394
코발트,2022-04-01,3.359499082,,코발트,2022-04-01,3.460284055
코발트,2022-05-01,3.503294168,,코발트,2022-05-01,3.608392993
코발트,2022-06-01,3.781825527,,코발트,2022-06-01,3.895280292
코발트,2022-07-01,25.71166432,,코발트,2022-07-01,26.48301425
코발트,2022-08-01,39.40002508,,코발트,2022-08-01,40.58202584
코발트,2022-09-01,49.97703777,,코발트,2022-09-01,51.4763489
코발트,2022-10-01,36.53321012,,코발트,2022-10-01,37.62920643
코발트,2022-11-01,37.41230701,,코발트,2022-11-01,38.53467622
코발트,2022-12-01,43.70819102,,코발트,2022-12-01,45.01943675
코발트,2023-01-01,47.95891324,,코발트,2023-01-01,49.39768063
코발트,2023-02-01,58.44326443,,코발트,2023-02-01,60.19656236
코발트,2023-03-01,65.70939565,,코발트,2023-03-01,67.68067752
코발트,2023-04-01,65.01683564,,코발트,2023-04-01,66.96734071
코발트,2023-05-01,66.49076681,,코발트,2023-05-01,68.48548981
코발트,2023-06-01,71.74645311,,코발트,2023-06-01,73.8988467
코발트,2023-07-01,70.30994811,,코발트,2023-07-01,72.41924655
코발트,2023-08-01,57.5849644,,코발트,2023-08-01,59.31251333
코발트,2023-09-01,61.06658626,,코발트,2023-09-01,62.89858385
코발트,2023-10-01,68.71912868,,코발트,2023-10-01,70.78070254
코발트,2023-11-01,67.26020296,,코발트,2023-11-01,69.27800905
코발트,2023-12-01,66.52359437,,코발트,2023-12-01,68.5193022
코발트,2024-01-01,67.2453003,,코발트,2024-01-01,69.26265931
코발트,2024-02-01,71.54542595,,코발트,2024-02-01,74.40724299
코발트,2024-03-01,70.69857369,,코발트,2024-03-01,73.52651664
코발트,2024-04-01,69.17495362,,코발트,2024-04-01,71.94195176
코발트,2024-05-01,69.8209524,,코발트,2024-05-01,72.6137905
